,,,,,Bobby Lee,The Guilt Trip 
,,,,,Miriam Margolyes,Scream 4 
,,,,,Alison Brie,8MM 
,,,,,Nicolas Cage,The Doors 
,,,,,Michael Wincott,Sex Tape 
,,,,,James Wilcox,Hanging Up 
,,,,,Adam Arkin,Final Destination 5 
,,,,,Emma Bell,Mickey Blue Eyes 
,,,,,Jeanne Tripplehorn,Pay It Forward 
,,,,,Kevin Spacey,Fever Pitch 
,,,,,Jimmy Fallon,Arthur             
,,,,,Bruce Dinsmore,Drillbit Taylor 
,,,,,Lisa Ann Walter,A Million Ways to Die in the West 
,,,,,Liam Neeson,The Shadow 
,,,,,Jonathan Winters,Extremely Loud & Incredibly Close 
,,,,,Tom Hanks,Morning Glory 
,,,,,Noah Bean,Get Rich or Die Tryin' 
,,,,,50 Cent,The Art of War 
,,,,,Michael Biehn,Rent 
,,,,,Rosario Dawson,Bless the Child 
,,,,,Rufus Sewell,The Out-of-Towners 
,,,,,Oliver Hudson,The Island of Dr. Moreau 
,,,,,Marlon Brando,The Musketeer 
,,,,,Catherine Deneuve,The Other Boleyn Girl 
,,,,,Natalie Portman,Sweet November 
,,,,,Keanu Reeves,The Reaping 
,,,,,Stephen Rea,Mean Streets 
,,,,,Robert De Niro,Renaissance Man 
,,,,,Ed Begley Jr.,Colombiana 
,,,,,Jordi Mollà,The Magic Sword: Quest for Camelot 
,,,,,Gary Oldman,City by the Sea 
,,,,,Robert De Niro,At First Sight 
,,,,,Mira Sorvino,Torque 
,,,,,Dane Cook,City Hall 
,,,,,Al Pacino,Showgirls 
,,,,,Bobbie Phillips,Marie Antoinette 
,,,,,Kirsten Dunst,Kiss of Death 
,,,,,Nicolas Cage,Get Carter 
,,,,,Sylvester Stallone,The Impossible 
,,,,,Naomi Watts,Ishtar 
,,,,,Carol Kane,Fantastic Mr. Fox 
,,,,,Bill Murray,Life or Something Like It 
,,,,,Angelina Jolie Pitt,Memoirs of an Invisible Man 
,,,,,Richard Epcar,Amélie 
,,,,,Mathieu Kassovitz,New York Minute 
,,,,,Mary-Kate Olsen,Alfie 
,,,,,Omar Epps,Big Miracle 
,,,,,Ted Danson,The Deep End of the Ocean 
,,,,,Alexa PenaVega,Feardotcom 
,,,,,Natascha McElhone,Cirque du Freak: The Vampire's Assistant 
,,,,,Josh Hutcherson,Victor Frankenstein 
,,,,,Daniel Radcliffe,Duplex 
,,,,,Justin Theroux,Soul Men 
,,,,,Bernie Mac,Raise the Titanic 
,,,,,M. Emmet Walsh,Universal Soldier: The Return 
,,,,,Michael Jai White,Pandorum 
,,,,,Norman Reedus,Impostor 
,,,,,Gary Dourdan,Extreme Ops 
,,,,,Rufus Sewell,Just Visiting 
,,,,,Bridgette Wilson-Sampras,Sunshine 
,,,,,Chris Evans,A Thousand Words 
,,,,,John Gatins,Delgo 
,,,,,Eric Idle,The Gunman 
,,,,,Ray Winstone,Alex Rider: Operation Stormbreaker 
,,,,,Alex Pettyfer,Disturbia 
,,,,,Sarah Roemer,Hackers 
,,,,,Angelina Jolie Pitt,The Hunting Party 
,,,,,James Brolin,The Hudsucker Proxy 
,,,,,Jennifer Jason Leigh,The Warlords 
,,,,,Jet Li,Nomad: The Warrior 
,,,,,Jay Hernandez,Snowpiercer 
,,,,,Chris Evans,A Monster in Paris 
,,,,,Adam Goldberg,The Last Shot 
,,,,,Matthew Broderick,The Crow 
,,,,,Michael Wincott,Baahubali: The Beginning 
,,,,,Tamannaah Bhatia,The Time Traveler's Wife 
,,,,,Arliss Howard,Because I Said So 
,,,,,Colin Ferguson,The Fast and the Furious 
,,,,,Paul Walker,Frankenweenie 
,,,,,Martin Landau,Serenity 
,,,,,Adam Baldwin,Against the Ropes 
,,,,,Omar Epps,Superman III 
,,,,,Margot Kidder,Grudge Match 
,,,,,Robert De Niro,Red Cliff 
,,,,,Takeshi Kaneshiro,Sweet Home Alabama 
,,,,,Ethan Embry,The Ugly Truth 
,,,,,Gerard Butler,Sgt. Bilko 
,,,,,Austin Pendleton,Spy Kids 2: Island of Lost Dreams 
,,,,,Steve Buscemi,Star Trek: Generations 
,,,,,LeVar Burton,The Grandmaster 
,,,,,Tony Chiu Wai Leung,Water for Elephants 
,,,,,Robert Pattinson,3rd Rock from the Sun             
,,,,,Joseph Gordon-Levitt,Dragon Nest: Warriors' Dawn 
,,,,,Blythe Auffarth,The Hurricane 
,,,,,Denzel Washington,Enough 
,,,,,Bill Cobbs,Heartbreakers 
,,,,,Sarah Silverman,Paul Blart: Mall Cop 2 
,,,,,D.B. Woodside,Angel Eyes 
,,,,,Sonia Braga,Joe Somebody 
,,,,,Jim Belushi,The Ninth Gate 
,,,,,Johnny Depp,Extreme Measures 
,,,,,J.K. Simmons,Rock Star 
,,,,,Beth Grant,Precious 
,,,,,Mo'Nique,White Squall 
,,,,,Jeff Bridges,The Thing 
,,,,,Wilford Brimley,Riddick 
,,,,,Vin Diesel,Switchback 
,,,,,Gregory Scott Cummins,Texas Rangers 
,,,,,Tom Skerritt,City of Ember 
,,,,,Bill Murray,The Master 
,,,,,Mike Howard,Virgin Territory 
,,,,,Hayden Christensen,The Express 
,,,,,Dennis Quaid,The 5th Wave 
,,,,,Chloë Grace Moretz,Creed 
,,,,,Sylvester Stallone,The Town 
,,,,,Jeremy Renner,What to Expect When You're Expecting 
,,,,,Anna Kendrick,Burn After Reading 
,,,,,J.K. Simmons,Nim's Island 
,,,,,Gerard Butler,Rush 
,,,,,Chris Hemsworth,Magnolia 
,,,,,Patton Oswalt,Cop Out 
,,,,,Bruce Willis,How to Be Single 
,,,,,Alison Brie,Dolphin Tale 
,,,,,Morgan Freeman,Twilight 
,,,,,Kristen Stewart,John Q 
,,,,,Denzel Washington,Blue Streak 
,,,,,Peter Greene,We're the Millers 
,,,,,Laura-Leigh,Obitaemyy ostrov 
,,,,,Yuliya Snigir,Breakdown 
,,,,,Kathleen Quinlan,Never Say Never Again 
,,,,,Bernie Casey,Hot Tub Time Machine 
,,,,,Charlie McDermott,Dolphin Tale 2 
,,,,,Morgan Freeman,Reindeer Games 
,,,,,Charlize Theron,A Man Apart 
,,,,,Vin Diesel,Aloha 
,,,,,Emma Stone,Ghosts of Mississippi 
,,,,,Alexa PenaVega,Snow Falling on Cedars 
,,,,,Rick Yune,The Rite 
,,,,,Anthony Hopkins,Gattaca 
,,,,,Blair Underwood,Isn't She Great 
,,,,,Stockard Channing,Space Chimps 
,,,,,Cheryl Hines,Head of State 
,,,,,Bernie Mac,The Hangover 
,,,,,Bradley Cooper,Ip Man 3 
,,,,,Mike Tyson,Austin Powers: The Spy Who Shagged Me 
,,,,,Muse Watson,Batman 
,,,,,Michael Gough,There Be Dragons 
,,,,,Jordi Mollà,Lethal Weapon 3 
,,,,,Rene Russo,The Blind Side 
,,,,,Catherine Dyer,Rush Hour             
,,,,,Jon Foo,Spy Kids 
,,,,,Alexa PenaVega,Horrible Bosses 
,,,,,Kevin Spacey,True Grit 
,,,,,Matt Damon,The Devil Wears Prada 
,,,,,Meryl Streep,Star Trek: The Motion Picture 
,,,,,Leonard Nimoy,Identity Thief 
,,,,,Jon Favreau,Cape Fear 
,,,,,Robert De Niro,21 
,,,,,Kevin Spacey,Trainwreck 
,,,,,Amy Schumer,Guess Who 
,,,,,Bernie Mac,The English Patient 
,,,,,Colin Firth,L.A. Confidential 
,,,,,Kevin Spacey,Sky High 
,,,,,Michael Angarano,In & Out 
,,,,,Tom Selleck,Species 
,,,,,Natasha Henstridge,A Nightmare on Elm Street 
,,,,,Johnny Depp,The Cell 
,,,,,Dylan Baker,The Man in the Iron Mask 
,,,,,Leonardo DiCaprio,Secretariat 
,,,,,Scott Glenn,TMNT 
,,,,,Chris Evans,Radio 
,,,,,Alfre Woodard,Friends with Benefits 
,,,,,Mila Kunis,Neighbors 2: Sorority Rising 
,,,,,Chloë Grace Moretz,Saving Mr. Banks 
,,,,,Tom Hanks,Malcolm X 
,,,,,Denzel Washington,This Is 40 
,,,,,Charlyne Yi,Old Dogs 
,,,,,Robin Williams,Underworld: Rise of the Lycans 
,,,,,Craig Parker,License to Wed 
,,,,,Robin Williams,The Benchwarmers 
,,,,,Jon Lovitz,Must Love Dogs 
,,,,,Stockard Channing,Donnie Brasco 
,,,,,Johnny Depp,Resident Evil 
,,,,,Milla Jovovich,Poltergeist 
,,,,,Heather O'Rourke,The Ladykillers 
,,,,,J.K. Simmons,Max Payne 
,,,,,Mila Kunis,In Time 
,,,,,Matt Bomer,The Back-up Plan 
,,,,,Danneel Ackles,Something Borrowed 
,,,,,Ashley Williams,Hit the Floor             
,,,,,Jodi Lyn O'Keefe,Black Knight 
,,,,,Tom Wilkinson,The Bad News Bears 
,,,,,Tatum O'Neal,Street Fighter 
,,,,,Ming-Na Wen,The Pianist 
,,,,,Emilia Fox,From Hell 
,,,,,Johnny Depp,The Nativity Story 
,,,,,Keisha Castle-Hughes,House of Wax 
,,,,,Robert Ri'chard,Closer 
,,,,,Natalie Portman,J. Edgar 
,,,,,Leonardo DiCaprio,Mirrors 
,,,,,Jason Flemyng,Queen of the Damned 
,,,,,Aaliyah,Predator 2 
,,,,,Adam Baldwin,Untraceable 
,,,,,Billy Burke,Blast from the Past 
,,,,,Brendan Fraser,Flash Gordon 
,,,,,Brian Blessed,Jersey Girl 
,,,,,Stephen Root,Alex Cross 
,,,,,Cicely Tyson,Midnight in the Garden of Good and Evil 
,,,,,Kevin Spacey,Heist 
,,,,,Robert De Niro,Nanny McPhee Returns 
,,,,,Daniel Mays,Hoffa 
,,,,,Frank Whaley,The X Files: I Want to Believe 
,,,,,Mitch Pileggi,Ella Enchanted 
,,,,,Anne Hathaway,Concussion 
,,,,,Will Smith,Abduction 
,,,,,Ken Arnold,Valiant 
,,,,,Jim Broadbent,Wonder Boys 
,,,,,Robert Downey Jr.,Superhero Movie 
,,,,,Drake Bell,Broken City 
,,,,,Alona Tal,Cursed 
,,,,,Shannon Elizabeth,Premium Rush 
,,,,,Joseph Gordon-Levitt,Hot Pursuit 
,,,,,Jim Gaffigan,The Four Feathers 
,,,,,Djimon Hounsou,Parker 
,,,,,Jason Statham,Wimbledon 
,,,,,Kirsten Dunst,Furry Vengeance 
,,,,,Brendan Fraser,Bait 
,,,,,Alex Russell,Krull 
,,,,,Liam Neeson,Lions for Lambs 
,,,,,Meryl Streep,Flight of the Intruder 
,,,,,Rosanna Arquette,Walk Hard: The Dewey Cox Story 
,,,,,Tim Meadows,The Shipping News 
,,,,,Kevin Spacey,American Outlaws 
,,,,,Gregory Smith,The Young Victoria 
,,,,,Michiel Huisman,Whiteout 
,,,,,Tom Skerritt,The Tree of Life 
,,,,,Brad Pitt,Knock Off 
,,,,,Paul Sorvino,Sabotage 
,,,,,Mireille Enos,The Order 
,,,,,Heath Ledger,Punisher: War Zone 
,,,,,Julie Benz,Zoom 
,,,,,Kevin Zegers,The Walk 
,,,,,Joseph Gordon-Levitt,Warriors of Virtue 
,,,,,Marley Shelton,A Good Year 
,,,,,Archie Panjabi,Luther             
,,,,,Ruth Wilson,Radio Flyer 
,,,,,Adam Baldwin,"Blood In, Blood Out "
,,,,,Delroy Lindo,Smilla's Sense of Snow 
,,,,,Jim Broadbent,Femme Fatale 
,,,,,Peter Coyote,Lion of the Desert 
,,,,,Oliver Reed,The Horseman on the Roof 
,,,,,Olivier Martinez,Ride with the Devil 
,,,,,Jeremy W. Auman,Biutiful 
,,,,,Maricel Álvarez,The Lovers 
,,,,,Tamsin Egerton,Bandidas 
,,,,,Salma Hayek,Black Water Transit 
,,,,,Bill Cobbs,The Maze Runner 
,,,,,Ki Hong Lee,Unfinished Business 
,,,,,Tom Wilkinson,The Age of Innocence 
,,,,,Richard E. Grant,The Fountain 
,,,,,Hugh Jackman,Chill Factor 
,,,,,David Paymer,Stolen 
,,,,,Nicolas Cage,Ponyo 
,,,,,Rumi Hiiragi,The Longest Ride 
,,,,,Tiago Riani,The Astronaut's Wife 
,,,,,Johnny Depp,I Dreamed of Africa 
,,,,,Liam Aiken,Playing for Keeps 
,,,,,Gerard Butler,Mandela: Long Walk to Freedom 
,,,,,Terry Pheto,Reds 
,,,,,Paul Sorvino,A Few Good Men 
,,,,,Tom Cruise,Exit Wounds 
,,,,,Michael Jai White,Big Momma's House 
,,,,,Nia Long,Thunder and the House of Magic 
,,,,,Kyle Hebert,The Darkest Hour 
,,,,,Max Minghella,Step Up Revolution 
,,,,,Ryan Guzman,Snakes on a Plane 
,,,,,Lin Shaye,The Watcher 
,,,,,Keanu Reeves,The Punisher 
,,,,,Laura Harring,Goal! The Dream Begins 
,,,,,Sean Pertwee,Safe 
,,,,,Jason Statham,Pushing Tin 
,,,,,Angelina Jolie Pitt,Star Wars: Episode VI - Return of the Jedi 
,,,,,Harrison Ford,Doomsday 
,,,,,Ryan Kruger,The Reader 
,,,,,Kate Winslet,Wanderlust 
,,,,,Justin Theroux,Elf 
,,,,,Peter Dinklage,Phenomenon 
,,,,,Robert Duvall,Snow Dogs 
,,,,,James Coburn,Scrooged 
,,,,,Bill Murray,Nacho Libre 
,,,,,Ana de la Reguera,Bridesmaids 
,,,,,Matt Lucas,This Is the End 
,,,,,Channing Tatum,Stigmata 
,,,,,Nia Long,Men of Honor 
,,,,,Robert De Niro,Takers 
,,,,,Paul Walker,The Big Wedding 
,,,,,Robin Williams,"Big Mommas: Like Father, Like Son "
,,,,,Brandon T. Jackson,Source Code 
,,,,,Jake Gyllenhaal,Alive 
,,,,,Illeana Douglas,The Number 23 
,,,,,Logan Lerman,The Young and Prodigious T.S. Spivet 
,,,,,Callum Rennie,1941 
,,,,,Christopher Lee,Dreamer: Inspired by a True Story 
,,,,,Ken Howard,A History of Violence 
,,,,,Viggo Mortensen,Transporter 2 
,,,,,Jason Statham,The Quick and the Dead 
,,,,,Leonardo DiCaprio,Laws of Attraction 
,,,,,Frances Fisher,Bringing Out the Dead 
,,,,,Nicolas Cage,Repo Men 
,,,,,Alice Braga,Dragon Wars: D-War 
,,,,,Robert Forster,Bogus 
,,,,,Haley Joel Osment,The Incredible Burt Wonderstone 
,,,,,Steve Buscemi,Cats Don't Dance 
,,,,,George Kennedy,Cradle Will Rock 
,,,,,Bill Murray,The Good German 
,,,,,Tony Curran,George and the Dragon 
,,,,,Joan Plowright,Apocalypse Now 
,,,,,Harrison Ford,Going the Distance 
,,,,,Rob Riggle,Mr. Holland's Opus 
,,,,,Alicia Witt,Criminal 
,,,,,Gary Oldman,Out of Africa 
,,,,,Meryl Streep,Flight 
,,,,,Denzel Washington,Moonraker 
,,,,,Desmond Llewelyn,The Grand Budapest Hotel 
,,,,,Bill Murray,Hearts in Atlantis 
,,,,,Anthony Hopkins,Arachnophobia 
,,,,,Julian Sands,Frequency 
,,,,,Dennis Quaid,Ghostbusters 
,,,,,Ed Begley Jr.,Vacation 
,,,,,Chris Hemsworth,Get Shorty 
,,,,,Delroy Lindo,Chicago 
,,,,,Colm Feore,Big Daddy 
,,,,,Steve Buscemi,American Pie 2 
,,,,,Alyson Hannigan,Toy Story 
,,,,,Tom Hanks,Speed 
,,,,,Keanu Reeves,The Vow 
,,,,,Channing Tatum,Extraordinary Measures 
,,,,,Harrison Ford,Remember the Titans 
,,,,,Ryan Gosling,The Hunt for Red October 
,,,,,Scott Glenn,Lee Daniels' The Butler 
,,,,,Alex Pettyfer,Dodgeball: A True Underdog Story 
,,,,,Gary Cole,The Addams Family 
,,,,,Anjelica Huston,Ace Ventura: When Nature Calls 
,,,,,Bruce Spence,The Princess Diaries 
,,,,,Anne Hathaway,The First Wives Club 
,,,,,Stockard Channing,Se7en 
,,,,,Morgan Freeman,District 9 
,,,,,Sharlto Copley,The SpongeBob SquarePants Movie 
,,,,,Scarlett Johansson,Mystic River 
,,,,,John Doman,Million Dollar Baby 
,,,,,Clint Eastwood,Analyze This 
,,,,,Robert De Niro,The Notebook 
,,,,,Ryan Gosling,27 Dresses 
,,,,,Judy Greer,Hannah Montana: The Movie 
,,,,,Emily Osment,Rugrats in Paris: The Movie 
,,,,,Elizabeth Daily,The Prince of Tides 
,,,,,George Carlin,Legends of the Fall 
,,,,,Anthony Hopkins,Up in the Air 
,,,,,J.K. Simmons,About Schmidt 
,,,,,Hope Davis,Warm Bodies 
,,,,,Cory Hardrict,Looper 
,,,,,Joseph Gordon-Levitt,Down to Earth 
,,,,,Chazz Palminteri,Babe 
,,,,,Miriam Margolyes,Hope Springs 
,,,,,Meryl Streep,Forgetting Sarah Marshall 
,,,,,Mila Kunis,Friday Night Lights             
,,,,,Zach Gilford,Four Brothers 
,,,,,Josh Charles,Baby Mama 
,,,,,Tina Fey,Hope Floats 
,,,,,Bill Cobbs,Bride Wars 
,,,,,Anne Hathaway,Without a Paddle 
,,,,,Antony Starr,13 Going on 30 
,,,,,Jennifer Garner,Midnight in Paris 
,,,,,Kurt Fuller,The Nut Job 
,,,,,Liam Neeson,Blow 
,,,,,Johnny Depp,Message in a Bottle 
,,,,,Robin Wright,Star Trek V: The Final Frontier 
,,,,,Leonard Nimoy,Like Mike 
,,,,,Brenda Song,Naked Gun 33 1/3: The Final Insult 
,,,,,George Kennedy,A View to a Kill 
,,,,,Patrick Macnee,The Curse of the Were-Rabbit 
,,,,,Mark Gatiss,P.S. I Love You 
,,,,,Gerard Butler,Racing Stripes 
,,,,,Bruce Greenwood,Atonement 
,,,,,Benedict Cumberbatch,Letters to Juliet 
,,,,,Vanessa Redgrave,Black Rain 
,,,,,Stephen Root,The Three Stooges 
,,,,,Kate Upton,Corpse Bride 
,,,,,Johnny Depp,Glory Road 
,,,,,Mehcad Brooks,Sicario 
,,,,,Edgar Arreola,Southpaw 
,,,,,Jake Gyllenhaal,Drag Me to Hell 
,,,,,Bojana Novakovic,The Age of Adaline 
,,,,,Harrison Ford,Secondhand Lions 
,,,,,Haley Joel Osment,Step Up 3D 
,,,,,Alyson Stoner,Blue Crush 
,,,,,Faizon Love,Stranger Than Fiction 
,,,,,Will Ferrell,30 Days of Night 
,,,,,Danny Huston,The Cabin in the Woods 
,,,,,Chris Hemsworth,Meet the Spartans 
,,,,,Carmen Electra,Midnight Run 
,,,,,Robert De Niro,The Running Man 
,,,,,Yaphet Kotto,Little Shop of Horrors 
,,,,,Bill Murray,Hanna 
,,,,,Jessica Barden,The Family             
,,,,,Zach Gilford,Mortal Kombat: Annihilation 
,,,,,Brian Thompson,Larry Crowne 
,,,,,Tom Hanks,Carrie 
,,,,,Chloë Grace Moretz,Take the Lead 
,,,,,Alfre Woodard,Entourage             
,,,,,Debi Mazar,Gridiron Gang 
,,,,,Dwayne Johnson,What's the Worst That Could Happen? 
,,,,,Bernie Mac,9 
,,,,,Martin Landau,Side Effects 
,,,,,Channing Tatum,The Prince and Me 
,,,,,Devin Ratray,Winnie the Pooh 
,,,,,Craig Ferguson,Dumb and Dumberer: When Harry Met Lloyd 
,,,,,Elden Henson,Bulworth 
,,,,,Warren Beatty,Get on Up 
,,,,,Tika Sumpter,One True Thing 
,,,,,Meryl Streep,Virtuosity 
,,,,,Denzel Washington,My Super Ex-Girlfriend 
,,,,,Rainn Wilson,Deliver Us from Evil 
,,,,,Olivia Munn,Sanctum 
,,,,,Ioan Gruffudd,Little Black Book 
,,,,,Holly Hunter,The Five-Year Engagement 
,,,,,Alison Brie,Mr 3000 
,,,,,Bernie Mac,The Next Three Days 
,,,,,Olivia Wilde,Ultraviolet 
,,,,,Milla Jovovich,Assault on Precinct 13 
,,,,,Brian Dennehy,The Replacement Killers 
,,,,,Mira Sorvino,Fled 
,,,,,Salma Hayek,Eight Legged Freaks 
,,,,,Scarlett Johansson,Love & Other Drugs 
,,,,,Jake Gyllenhaal,88 Minutes 
,,,,,Al Pacino,North Country 
,,,,,Jeremy Renner,The Whole Ten Yards 
,,,,,Bruce Willis,Splice 
,,,,,Sarah Polley,Howard the Duck 
,,,,,Lea Thompson,Pride and Glory 
,,,,,Jennifer Ehle,The Cave 
,,,,,Eddie Cibrian,Alex & Emma 
,,,,,David Paymer,Wicker Park 
,,,,,Jessica Paré,Fright Night 
,,,,,Grace Phipps,The New World 
,,,,,Christian Bale,Wing Commander 
,,,,,Saffron Burrows,In Dreams 
,,,,,Robert Downey Jr.,Dragonball: Evolution 
,,,,,Ian Whyte,The Last Stand 
,,,,,Zach Gilford,Godsend 
,,,,,Robert De Niro,Chasing Liberty 
,,,,,Annabella Sciorra,Hoodwinked Too! Hood vs. Evil 
,,,,,Amy Poehler,An Unfinished Life 
,,,,,Morgan Freeman,The Imaginarium of Doctor Parnassus 
,,,,,Andrew Garfield,Barney's Version 
,,,,,Mark Addy,Trapped             
,,,,,Ólafur Darri Ólafsson,Runner Runner 
,,,,,Justin Timberlake,Antitrust 
,,,,,Tyler Labine,Glory 
,,,,,Denzel Washington,Once Upon a Time in America 
,,,,,Robert De Niro,Dead Man Down 
,,,,,Dominic Cooper,The Merchant of Venice 
,,,,,Al Pacino,The Good Thief 
,,,,,Emir Kusturica,Supercross 
,,,,,Channing Tatum,Miss Potter 
,,,,,Emily Watson,The Promise 
,,,,,Dong-gun Jang,DOA: Dead or Alive 
,,,,,Steve Howey,The Assassination of Jesse James by the Coward Robert Ford 
,,,,,Brad Pitt,1911 
,,,,,Bingbing Li,Little Nicholas 
,,,,,Louise Bourgoin,Wild Card 
,,,,,Jason Statham,Machine Gun Preacher 
,,,,,Gerard Butler,Animals United 
,,,,,Jim Broadbent,The Color of Freedom 
,,,,,Terry Pheto,United Passions 
,,,,,Fisher Stevens,Grace of Monaco 
,,,,,Paz Vega,A Warrior's Tail 
,,,,,Konstantin Khabenskiy,Ripley's Game 
,,,,,Ray Winstone,Sausage Party 
,,,,,James Franco,Pitch Perfect 2 
,,,,,Anna Kendrick,Walk the Line 
,,,,,Sandra Ellis Lafferty,12 Monkeys             
,,,,,Amanda Schull,Keeping the Faith 
,,,,,Lisa Edelstein,The Borrowers 
,,,,,Jim Broadbent,Frost/Nixon 
,,,,,Toby Jones,Confessions of a Dangerous Mind 
,,,,,Dick Clark,Serving Sara 
,,,,,Matthew Perry,The Boss 
,,,,,Peter Dinklage,Cry Freedom 
,,,,,Denzel Washington,Mumford 
,,,,,Zooey Deschanel,Seed of Chucky 
,,,,,Jason Flemyng,The Jacket 
,,,,,Jennifer Jason Leigh,Aladdin 
,,,,,Robin Williams,Straight Outta Compton 
,,,,,Aldis Hodge,Indiana Jones and the Temple of Doom 
,,,,,Harrison Ford,The Rugrats Movie 
,,,,,Elizabeth Daily,Along Came a Spider 
,,,,,Morgan Freeman,Florence Foster Jenkins 
,,,,,Meryl Streep,Once Upon a Time in Mexico 
,,,,,Johnny Depp,Die Hard 
,,,,,Alan Rickman,Role Models 
,,,,,Joe Lo Truglio,The Big Short 
,,,,,Ryan Gosling,Taking Woodstock 
,,,,,Imelda Staunton,Miracle 
,,,,,Eddie Cahill,Dawn of the Dead 
,,,,,Ty Burrell,The Wedding Planner 
,,,,,Matthew McConaughey,Harlock: Space Pirate 
,,,,,Shun Oguri,The Royal Tenenbaums 
,,,,,Bill Murray,Identity 
,,,,,Clea DuVall,Last Vegas 
,,,,,Robert De Niro,For Your Eyes Only 
,,,,,Julian Glover,Serendipity 
,,,,,Lilli Lavine,Timecop 
,,,,,Mia Sara,Zoolander 
,,,,,Milla Jovovich,Safe Haven 
,,,,,David Lyons,Hocus Pocus 
,,,,,Vinessa Shaw,No Reservations 
,,,,,Zoë Kravitz,Kick-Ass 
,,,,,Elizabeth McGovern,30 Minutes or Less 
,,,,,Bianca Kajlich,Dracula 2000 
,,,,,Gerard Butler,"Alexander and the Terrible, Horrible, No Good, Very Bad Day "
,,,,,Bella Thorne,Pride & Prejudice 
,,,,,Talulah Riley,Blade Runner 
,,,,,Harrison Ford,Rob Roy 
,,,,,Liam Neeson,3 Days to Kill 
,,,,,Connie Nielsen,We Own the Night 
,,,,,Robert Duvall,Lost Souls 
,,,,,Philip Baker Hall,Winged Migration 
,,,,,Jacques Perrin,Just My Luck 
,,,,,Samaire Armstrong,"Mystery, Alaska "
,,,,,Scott Grimes,The Spy Next Door 
,,,,,Madeline Carroll,A Simple Wish 
,,,,,Mara Wilson,Ghosts of Mars 
,,,,,Jason Statham,Our Brand Is Crisis 
,,,,,Dominic Flores,Pride and Prejudice and Zombies 
,,,,,Matt Smith,Kundun 
,,,,,Tenzin Thuthob Tsarong,How to Lose Friends & Alienate People 
,,,,,James Corden,Kick-Ass 2 
,,,,,Chloë Grace Moretz,Captain Alatriste: The Spanish Musketeer 
,,,,,Viggo Mortensen,Brick Mansions 
,,,,,Paul Walker,Octopussy 
,,,,,Louis Jourdan,Knocked Up 
,,,,,Harold Ramis,My Sister's Keeper 
,,,,,Jason Patric,"Welcome Home, Roscoe Jenkins "
,,,,,Mo'Nique,A Passage to India 
,,,,,Richard Wilson,Notes on a Scandal 
,,,,,Phil Davis,Rendition 
,,,,,J.K. Simmons,Limitless             
,,,,,Colin Salmon,Star Trek VI: The Undiscovered Country 
,,,,,Leonard Nimoy,Divine Secrets of the Ya-Ya Sisterhood 
,,,,,Ellen Burstyn,The Jungle Book 
,,,,,Scarlett Johansson,Kiss the Girls 
,,,,,Morgan Freeman,The Blues Brothers 
,,,,,John Belushi,The Sisterhood of the Traveling Pants 2 
,,,,,America Ferrera,Joyful Noise 
,,,,,Dolly Parton,About a Boy 
,,,,,Sharon Small,Lake Placid 
,,,,,Oliver Platt,Lucky Number Slevin 
,,,,,Bruce Willis,The Right Stuff 
,,,,,Dennis Quaid,Anonymous 
,,,,,Vanessa Redgrave,The NeverEnding Story 
,,,,,Gerald McRaney,Dark City 
,,,,,Rufus Sewell,The Duchess 
,,,,,Dominic Cooper,The Honeymooners             
,,,,,Jackie Gleason,Return to Oz 
,,,,,Piper Laurie,The Newton Boys 
,,,,,Matthew McConaughey,Case 39 
,,,,,Bradley Cooper,Suspect Zero 
,,,,,Harry Lennix,Martian Child 
,,,,,Oliver Platt,Spy Kids: All the Time in the World in 4D 
,,,,,Alexa PenaVega,Money Monster 
,,,,,Julia Roberts,Formula 51 
,,,,,Meat Loaf,Flawless 
,,,,,Robert De Niro,Mindhunters 
,,,,,LL Cool J,What Just Happened 
,,,,,Robert De Niro,The Statement 
,,,,,Charlotte Rampling,The Magic Flute 
,,,,,Kim-Marie Woodhouse,Paul Blart: Mall Cop 
,,,,,Erick Avari,Freaky Friday 
,,,,,Jamie Lee Curtis,The 40-Year-Old Virgin 
,,,,,Steve Carell,Shakespeare in Love 
,,,,,Tom Wilkinson,A Walk Among the Tombstones 
,,,,,Liam Neeson,Kindergarten Cop 
,,,,,Richard Tyson,Pineapple Express 
,,,,,James Franco,Ever After: A Cinderella Story 
,,,,,Anjelica Huston,Open Range 
,,,,,Robert Duvall,Flatliners 
,,,,,Julia Roberts,It's Always Sunny in Philadelphia             
,,,,,Rob McElhenney,A Bridge Too Far 
,,,,,Ryan O'Neal,Red Eye 
,,,,,Robert Pine,Final Destination 2 
,,,,,Sarah Carter,"O Brother, Where Art Thou? "
,,,,,Holly Hunter,Legion 
,,,,,Dennis Quaid,Pain & Gain 
,,,,,Dwayne Johnson,In Good Company 
,,,,,Scarlett Johansson,Clockstoppers 
,,,,,Michael Biehn,Silverado 
,,,,,Scott Glenn,Brothers 
,,,,,Natalie Portman,Agent Cody Banks 2: Destination London 
,,,,,Daniel Roebuck,New Year's Eve 
,,,,,Robert De Niro,Original Sin 
,,,,,Angelina Jolie Pitt,The Raven 
,,,,,Pam Ferris,Welcome to Mooseport 
,,,,,Rip Torn,Highlander: The Final Dimension 
,,,,,Christopher Lambert,Blood and Wine 
,,,,,Harold Perrineau,Snow White: A Tale of Terror 
,,,,,David Conrad,The Curse of the Jade Scorpion 
,,,,,Woody Allen,Accidental Love 
,,,,,Jake Gyllenhaal,Flipper 
